GKZ,Name_gemeinde,HArzt_access,NotfallA_access
6534016,"Neustadt (Hessen), Stadt",3.24,19.71
6534017,"Rauschenberg, Stadt",4.0,16.77
6534018,"Stadtallendorf, Stadt",2.54,22.12
6534019,Steffenberg,4.19,24.24
6534020,Weimar (Lahn),2.9,12.32
6534021,"Wetter (Hessen), Stadt",4.88,15.54
6534022,Wohratal,2.87,20.9
6535001,"Alsfeld, Stadt",4.01,8.59
6535002,Antrifttal,4.14,12.31
6535003,Feldatal,2.93,19.92
6535004,Freiensteinau,6.5,30.16
6535005,Gemünden (Felda),4.24,24.54
6535006,"Grebenau, Stadt",2.88,18.35
6535007,Grebenhain,4.8,21.56
6535008,"Herbstein, Stadt",3.29,15.64
6535009,"Homberg (Ohm), Stadt",4.15,23.37
6535010,"Kirtorf, Stadt",4.62,16.94
6535011,"Lauterbach (Hessen), Kreisstadt",4.31,6.79
6535012,Lautertal (Vogelsberg),6.94,12.78
6535013,Mücke,3.69,20.26
6535014,"Romrod, Stadt",1.37,13.34
6535015,"Schlitz, Stadt",5.12,18.73
6535016,"Schotten, Stadt",5.27,8.12
6535017,Schwalmtal,4.35,13.9
6535018,"Ulrichstein, Stadt",3.6,14.54
6535019,Wartenberg,3.16,10.09
6611000,"Kassel, documenta-Stadt",1.83,5.97
6631001,Bad Salzschlirf,2.27,16.33
6631002,"Burghaun, Marktgemeinde",5.47,12.0
6631003,Dipperz,4.1,12.24
6631004,Ebersburg,4.29,18.4
6631005,Ehrenberg (Rhön),4.21,28.46
6631006,Eichenzell,3.66,12.35
6631007,"Eiterfeld, Marktgemeinde",4.23,17.62
6631008,Flieden,4.22,21.13
6631009,"Fulda, Stadt",2.66,7.02
6631010,"Gersfeld (Rhön), Stadt",4.63,24.38
6631011,Großenlüder,4.28,15.24
6631012,"Hilders, Marktgemeinde",6.43,25.16
6631013,Hofbieber,5.15,16.56
6631014,Hosenfeld,3.18,22.13
6631015,"Hünfeld, Konrad-Zuse-Stadt",4.19,6.53
6631016,Kalbach,4.42,20.57
6631017,Künzell,2.89,8.52
6631018,Neuhof,4.46,17.1
6631019,Nüsttal,2.89,11.64
6631020,Petersberg,3.74,8.35
6631021,Poppenhausen (Wasserkuppe),5.28,19.13
6631022,"Rasdorf, Point-Alpha-Gemeinde",2.28,16.68
6631023,"Tann (Rhön), Stadt",3.94,26.33
6632001,Alheim,5.7,11.62
6632002,"Bad Hersfeld, Kreisstadt",3.86,7.27
6632003,"Bebra, Stadt",4.96,15.85
6632004,Breitenbach a. Herzberg,7.7,22.68
6632005,Cornberg,9.86,19.72
6632006,Friedewald,3.71,16.85
6632007,Hauneck,3.02,9.92
6632008,Haunetal,4.5,16.41
6632009,"Heringen (Werra), Stadt",4.43,26.72
6632010,Hohenroda,2.7,22.82
6632011,Kirchheim,4.64,18.83
6632012,Ludwigsau,6.09,12.69
6632013,Nentershausen,4.04,24.93
6632014,Neuenstein,7.42,15.4
6632015,"Niederaula, Marktgemeinde",4.24,16.9
6632016,"Philippsthal (Werra), Marktgemeinde",2.01,23.62
6632017,Ronshausen,3.49,21.61
6632018,"Rotenburg a. d. Fulda, Stadt",4.36,5.81
6632019,Schenklengsfeld,3.67,16.61
6632020,Wildeck,5.24,20.9
6633001,Ahnatal,1.87,13.44
6633002,"Bad Karlshafen, Stadt",5.38,24.94
6633003,"Baunatal, Stadt",2.25,13.89
6633004,Breuna,5.23,11.28
6633005,Calden,4.86,14.92
6633006,Bad Emstal,1.95,13.05
6633007,Espenau,2.67,13.41
6633008,Fuldabrück,2.65,14.59
6633009,Fuldatal,2.39,9.08
6633010,"Grebenstein, Stadt",2.57,10.91
6633011,Habichtswald,3.28,13.02
6633012,Helsa,2.93,12.06
6633013,"Hofgeismar, Stadt",5.04,7.59
6633014,"Immenhausen, Stadt",2.3,15.63
6633015,Kaufungen,2.01,15.48
6633016,"Liebenau, Stadt",4.16,8.66
6633017,Lohfelden,1.91,12.93
6633018,"Naumburg, Stadt",4.58,12.46
6633019,Nieste,1.4,17.04
6633020,Niestetal,1.87,10.18
6633022,Reinhardshagen,2.24,15.88
6633023,Schauenburg,3.0,13.9
6633024,Söhrewald,1.85,15.96
6633025,"Trendelburg, Stadt",6.06,16.25
6633026,"Vellmar, Stadt",1.9,9.11
6633028,"Wolfhagen, Hans-Staden-Stadt",4.27,7.34
6633029,"Zierenberg, Stadt",2.72,14.02
6633030,Wesertal,5.23,27.19
6633200,"Gutsbezirk Reinhardswald, gemfr. Gebiet",-9999.0,18.04
6634001,"Borken (Hessen), Stadt",5.39,13.77
6634002,Edermünde,2.21,14.18
6634003,"Felsberg, Stadt",3.41,12.82
6634004,"Frielendorf, Marktflecken",4.15,11.45
6634005,"Fritzlar, Dom- und Kaiserstadt",4.8,5.6
6634006,Gilserberg,5.18,20.9
6634007,"Gudensberg, Stadt",3.87,11.21
6634008,Guxhagen,3.58,13.36
6634009,"Homberg (Efze), Reformationsstadt, Kreisstadt",4.01,18.21
6634010,Jesberg,4.16,19.72
6634011,Knüllwald,7.68,20.09
6634012,Körle,2.57,8.26
6634013,Malsfeld,7.89,11.08
6634014,"Melsungen, Stadt",3.88,5.44
6634015,Morschen,4.38,16.04
6634016,Neuental,4.34,14.94
6634017,"Neukirchen, Stadt",3.82,13.22
6634018,"Niedenstein, Stadt",3.23,15.79
6634019,Oberaula,3.34,23.93
6634020,Ottrau,3.82,19.51
6634021,Schrecksbach,1.89,11.61
6634022,"Schwalmstadt, Konfirmationsstadt",2.94,7.9
6634023,"Schwarzenborn, Stadt",2.24,17.64
6634024,"Spangenberg, Liebenbachstadt",5.5,16.72
6634025,Wabern,4.48,11.28
6634026,Willingshausen,4.72,10.39
6634027,Bad Zwesten,3.98,15.63
6635001,Allendorf (Eder),2.67,13.69
6635002,"Bad Arolsen, Stadt",3.89,6.64
6635003,"Bad Wildungen, Stadt",2.74,7.33
6635004,"Battenberg (Eder), Stadt",2.5,16.22
6635005,Bromskirchen,3.38,-9999.0
6635006,Burgwald,5.43,10.8
6635007,Diemelsee,5.57,16.56
6635008,"Diemelstadt, Stadt",4.63,11.75
6635009,"Edertal, Nationalparkgemeinde",3.6,13.21
6635010,"Frankenau, Nationalparkstadt",4.11,15.27
6635011,"Frankenberg (Eder), Philipp-Soldan-Stadt",3.6,7.15
6635012,"Gemünden (Wohra), Stadt",3.32,20.49
6635013,Haina (Kloster),4.1,15.56
6635014,"Hatzfeld (Eder), Stadt",4.18,20.81
6635015,"Korbach, Hansestadt, Kreisstadt",4.4,7.24
6635016,"Lichtenfels, Stadt",7.17,13.89
6635017,"Rosenthal, Stadt",2.52,16.67
6635018,Twistetal,6.38,10.21
6635019,"Vöhl, Nationalparkgemeinde",4.81,13.82
6635020,"Volkmarsen, Stadt",4.81,11.79
6635021,"Waldeck, Nationalparkstadt",4.19,16.48
6635022,Willingen (Upland),6.54,18.75
6636001,"Bad Sooden-Allendorf, Stadt",5.14,17.21
6636002,Berkatal,3.74,16.84
6636003,"Eschwege, Kreisstadt",3.67,6.0
6636004,"Großalmerode, Stadt",3.12,13.89
6636005,Herleshausen,4.59,14.46
6636006,"Hessisch Lichtenau, Stadt",4.22,8.29
6636007,Meinhard,5.76,8.86
6636008,Meißner,3.75,14.37
6636009,Neu-Eichenberg,4.88,12.66
6636010,Ringgau,4.48,18.43
6636011,"Sontra, Stadt",5.94,19.34
6636012,"Waldkappel, Stadt",5.72,17.84
6636013,"Wanfried, Stadt",3.72,14.86
6636014,Wehretal,3.34,9.81
6636015,Weißenborn,7.5,14.93
6636016,"Witzenhausen, Stadt",5.66,7.98
6636200,"Gutsbezirk Kaufunger Wald, gemfr. Gebiet",-9999.0,14.81
7111000,"Koblenz, Stadt",1.84,6.1
7131001,"Adenau, Stadt",2.17,3.2
7131002,Ahrbrück,1.87,15.24
7131003,Altenahr,3.0,16.32
7131004,Antweiler,7.27,15.66
7131005,Aremberg,1.22,20.65
7131006,"Bad Breisig, Stadt",2.03,10.7
7131007,"Bad Neuenahr-Ahrweiler, Stadt",3.12,5.94
7131008,Barweiler,12.0,13.0
7131009,Bauler,9.55,16.26
7131011,Berg,12.64,24.4
7131014,Brohl-Lützing,4.51,13.02
7131015,Dankerath,11.58,14.66
7131016,Dedenbach,6.94,16.03
7131017,Dernau,2.02,7.33
7131018,Dorsel,9.14,19.21
7131021,Eichenbach,4.54,22.16
7131022,Fuchshofen,7.14,18.38
7131025,Gönnersdorf,9.18,17.92
7131026,Harscheid,6.43,16.54
7131027,Heckenbach,16.24,21.88
7131028,Herschbroich,5.83,6.98
7131029,Hönningen,4.45,11.98
7131030,Hoffeld,9.3,11.9
7131032,Honerath,4.17,4.94
7131033,Hümmel,7.86,22.99
7131034,Insul,1.62,9.68
7131036,Kalenborn,7.78,16.22
7131037,Kaltenborn,10.69,13.38
7131039,Kesseling,7.56,20.11
7131040,Kirchsahr,12.48,26.19
7131041,Königsfeld,9.54,12.66
7131042,Kottenborn,7.25,8.22
7131044,Leimbach,4.96,5.37
7131047,Lind,10.42,19.82
7131049,Mayschoß,4.39,11.36
7131050,Meuspath,10.4,11.48
7131051,Müllenbach,6.44,14.85
7131052,Müsch,10.02,13.51
7131054,Niederdürenbach,2.68,22.09
7131055,Niederzissen,1.98,18.5
7131058,Nürburg,11.51,13.74
7131059,Oberdürenbach,5.05,20.24
7131060,Oberzissen,1.52,20.42
7131062,Ohlenhard,4.62,22.93
7131065,Pomster,11.89,12.42
7131066,Quiddelbach,6.94,8.06
7131068,Rech,4.03,9.52
7131069,Reifferscheid,10.26,10.0
7131070,"Remagen, Stadt",2.97,6.61
7131072,Rodder,9.68,9.28
7131073,Schalkenbach,15.28,15.46
7131074,Schuld,2.62,13.37
7131075,Senscheid,14.15,17.11
7131076,Sierscheid,5.94,14.12
7131077,"Sinzig, Stadt",3.01,8.08
7131079,Trierscheid,11.22,12.98
7131081,Waldorf,5.45,15.09
7131082,Wershofen,1.68,21.53
7131083,Wiesemscheid,11.77,13.71
7131084,Wimbach,5.17,6.77
7131085,Winnerath,6.13,14.2
7131086,Wirft,8.94,8.71
7131090,Grafschaft,4.73,11.11
7131201,Brenk,8.0,26.24
7131202,Burgbrohl,1.72,17.03
7131204,Galenberg,5.02,23.54
7131205,Glees,4.83,16.35
7131206,Hohenleimbach,6.35,16.56
7131208,Spessart,5.28,22.09
7131209,Wassenach,5.62,15.01
7131210,Wehr,5.08,19.13
7131211,Weibern,1.32,19.51
7131501,Dümpelfeld,2.6,8.52
7131502,Kempenich,2.53,21.15
7132001,Almersbach,2.94,4.98
7132002,Alsdorf,5.45,9.39
7132004,Bachenberg,5.57,7.5
7132005,Berzhausen,7.53,10.84
7132006,"Betzdorf, Stadt",2.29,8.07
7132007,Birkenbeul,7.29,12.06
7132008,Birken-Honigsessen,3.12,20.33
7132009,Birnbach,4.12,8.02
7132010,Bitzen,7.41,17.15
7132011,Mittelhof,6.9,20.91
7132012,Brachbach,4.24,9.5
7132013,Breitscheidt,4.6,15.49
7132014,Bruchertseifen,6.25,13.7
7132015,Bürdenbach,3.6,17.47
7132016,Burglahr,3.15,16.9
7132017,Busenhausen,5.86,8.07
7132018,"Daaden, Stadt",2.12,18.54
7132019,Derschen,6.32,17.75
7132020,Dickendorf,5.23,15.69
7132022,Eichelhardt,6.43,9.64
7132023,Eichen,2.92,13.65
7132024,Elben,3.44,12.35
7132025,Elkenroth,1.36,15.16
7132026,Emmerzhausen,6.59,22.1
7132027,Ersfeld,7.17,16.18
7132028,Etzbach,4.2,18.33
7132029,Eulenberg,5.67,15.89
7132030,Fensdorf,6.16,19.78
7132031,Fiersbach,10.14,13.29
7132032,Flammersfeld,1.18,12.39
7132033,Fluterschen,4.01,5.94
7132034,Forst,7.53,15.2
7132035,Forstmehren,5.0,14.38
7132036,Friedewald,4.77,15.18
7132037,Friesenhagen,5.67,13.89
7132038,Fürthen,3.46,18.58
7132039,Gebhardshain,1.42,14.71
7132040,Gieleroth,5.0,7.65
7132041,Giershausen,4.99,12.17
7132042,Grünebach,7.17,11.38
7132043,Güllesheim,2.43,17.18
7132044,Hamm (Sieg),1.36,17.87
7132045,Harbach,9.09,12.36
7132046,Hasselbach,5.19,15.23
7132047,Helmenzen,4.1,5.41
7132048,Helmeroth,9.97,15.02
7132049,Hemmelzen,6.66,9.73
7132050,"Herdorf, Stadt",3.93,14.59
7132051,Heupelzen,6.4,8.44
7132052,Hilgenroth,6.85,12.1
7132053,Hirz-Maulsbach,9.45,10.02
7132054,Hövels,4.92,17.72
7132055,Horhausen (Westerwald),1.3,15.67
7132056,Idelberg,8.8,12.13
7132057,Ingelbach,5.02,10.45
7132058,Isert,7.8,11.06
7132059,Kausen,3.69,14.03
7132060,Kescheid,6.03,10.8
7132061,Kettenhausen,4.03,5.93
7132062,Kircheib,9.29,9.64
7132063,"Kirchen (Sieg), Stadt",3.58,5.85
7132064,Kraam,4.63,14.25
7132065,Krunkel,5.62,15.87
7132066,Malberg,3.46,13.97
7132067,Mammelzen,4.15,6.55
7132068,Mauden,6.25,19.41
7132069,Mehren,8.44,15.17
7132070,Michelbach (Westerwald),3.62,6.62
7132071,Molzhain,5.69,12.82
7132072,Mudersbach,2.95,11.92
7132073,Nauroth,3.49,13.92
7132075,Niederdreisbach,6.42,15.94
7132076,Niederfischbach,3.06,9.97
7132077,Niederirsen,8.25,15.3
7132078,Niedersteinebach,2.8,17.69
7132079,Nisterberg,6.7,14.95
7132080,Katzwinkel (Sieg),4.26,14.94
7132081,Obererbach (Westerwald),7.5,9.77
7132082,Oberirsen,4.87,11.2
7132083,Oberlahr,2.38,18.51
7132085,Obersteinebach,5.24,19.09
7132086,Oberwambach,6.66,9.72
7132087,Ölsen,8.47,11.82
7132088,Orfgen,5.88,13.24
7132089,Peterslahr,4.08,14.82
7132090,Pleckhausen,3.34,17.92
7132091,Pracht,4.8,14.95
7132092,Racksen,8.93,12.32
7132093,Reiferscheid,3.33,12.23
7132094,Rettersen,6.64,13.41
7132095,Rosenheim (Landkreis Altenkirchen),1.33,14.14
7132096,Roth,4.16,16.78
7132097,Rott,3.26,12.07
7132098,Scheuerfeld,1.71,11.55
7132099,Schöneberg,5.17,6.65
7132100,Schürdt,4.42,10.42
7132101,Schutzbach,7.41,13.15
7132102,Seelbach bei Hamm (Sieg),3.8,17.69
7132103,Seelbach (Westerwald),6.09,13.81
7132104,Seifen,6.38,15.98
7132105,Selbach (Sieg),7.0,21.69
7132106,Sörth,5.58,7.66
7132107,Steinebach/ Sieg,4.3,16.01
7132108,Steineroth,5.81,10.61
7132109,Stürzelbach,6.71,9.06
7132110,Volkerzen,8.76,11.19
7132111,Wallmenroth,3.75,11.07
7132112,Walterschen,6.99,12.37
7132113,Weitefeld,4.4,15.77
7132114,Werkhausen,3.94,13.61
7132115,Weyerbusch,1.58,10.7
7132116,Willroth,3.35,13.12
7132117,"Wissen, Stadt",3.62,20.16
7132118,Wölmersen,6.2,8.76
7132119,Ziegenhain,7.8,14.36
7132201,Berod bei Hachenburg,7.07,11.07
7132501,"Altenkirchen (Westerwald), Stadt",2.08,3.97
7132502,Neitersen,6.1,7.83
7133001,Abtweiler,7.07,10.93
7133002,Allenfeld,1.74,19.95
7133003,Altenbamberg,4.62,12.36
7133004,Argenschwang,4.97,20.44
7133005,Auen,7.38,25.77
7133006,"Bad Kreuznach, Stadt",2.16,6.37
7133008,Bärenbach,5.48,30.93
7133009,Bärweiler,8.5,15.05
7133010,Becherbach bei Kirn,8.64,21.97
7133011,Becherbach,10.1,12.22
7133012,Biebelsheim,4.53,11.45
7133013,Bockenau,4.23,16.27
7133014,Boos,4.46,17.16
7133015,Braunweiler,7.23,15.33
7133016,Brauweiler,9.65,33.4
7133017,Breitenheim,5.07,7.48
7133018,Bretzenheim,1.67,8.16
7133019,Burgsponheim,5.35,13.28
7133020,Callbach,4.78,5.9
7133021,Dalberg,3.44,16.37
7133022,Daubach,5.36,21.82
7133023,Daxweiler,5.96,19.57
7133024,Desloch,7.58,10.22
7133025,Dörrebach,4.52,16.92
7133026,Dorsheim,5.92,11.36
7133027,Duchroth,5.0,17.37
7133028,Eckenroth,8.12,19.86
7133030,Feilbingert,7.56,15.91
7133031,Frei-Laubersheim,3.66,10.55
7133032,Fürfeld,1.48,14.18
7133033,Gebroth,3.7,21.71
7133035,Guldental,2.21,10.38
7133036,Gutenberg,3.21,9.8
7133037,Hackenheim,1.71,7.74
7133038,Hahnenbach,5.5,31.12
7133039,Hallgarten,5.57,18.39
7133040,Hargesheim,1.52,8.67
7133041,Heimweiler,6.9,24.88
7133042,Heinzenberg,5.02,30.01
7133043,Hennweiler,1.64,31.1
7133044,Hergenfeld,5.12,17.37
7133045,Hochstätten,6.52,15.26
7133046,Hochstetten-Dhaun,3.39,30.26
7133047,Horbach,6.02,30.78
7133048,Hüffelsheim,1.25,10.28
7133049,Hundsbach,10.3,15.99
7133050,Ippenschied,5.48,23.22
7133051,Jeckenbach,7.91,10.46
7133052,"Kirn, Stadt",2.68,31.7
7133053,Kirschroth,7.72,24.83
7133054,Langenlonsheim,1.36,11.25
7133055,Langenthal,6.52,26.03
7133056,Laubenheim,3.07,10.02
7133057,Lauschied,10.78,14.37
7133058,Lettweiler,7.22,14.07
7133059,Limbach,13.21,19.92
7133060,Löllbach,7.84,13.02
7133061,Mandel,4.62,11.22
7133062,Martinstein,3.91,23.67
7133063,Meckenbach,6.36,33.52
7133064,Meddersheim,1.81,19.24
7133065,"Meisenheim, Stadt",1.94,3.96
7133066,Merxheim,4.92,23.93
7133067,Monzingen,1.98,21.11
7133068,Münchwald,5.58,19.19
7133069,Neu-Bamberg,5.57,12.47
7133070,Niederhausen,5.14,15.08
7133071,Norheim,3.95,10.97
7133072,Nußbaum,4.38,19.77
7133073,Oberhausen bei Kirn,1.6,34.67
7133074,Oberhausen an der Nahe,7.79,18.05
7133075,Oberstreit,3.94,14.37
7133076,Odernheim am Glan,1.58,12.76
7133077,Otzweiler,4.5,21.9
7133078,Pfaffen-Schwabenheim,3.66,11.0
7133080,Pleitersheim,6.86,14.05
7133081,Raumbach,4.3,7.03
7133082,Rehbach,5.01,20.99
7133083,Rehborn,5.84,7.28
7133084,Reiffelbach,7.34,8.61
7133085,Roth,4.31,15.57
7133086,Roxheim,2.04,8.25
7133087,Rümmelsheim,5.39,12.67
7133088,Sankt Katharinen,5.46,12.32
7133089,Schloßböckelheim,4.72,15.3
7133090,Schmittweiler,8.21,9.48
7133091,Schöneberg,7.11,20.62
7133092,Schweinschied,10.11,16.92
7133093,Schweppenhausen,4.67,16.33
7133094,Seesbach,8.48,28.29
7133095,Seibersbach,6.66,18.81
7133096,Simmertal,2.05,26.34
7133098,Sommerloch,4.34,13.84
7133099,Spabrücken,2.26,20.47
7133100,Spall,5.42,20.95
7133101,Sponheim,7.5,13.73
7133102,Staudernheim,1.9,15.37
7133103,"Stromberg, Stadt",3.6,20.34
7133104,Tiefenthal,4.83,16.71
7133105,Traisen,3.67,10.38
7133106,Volxheim,3.3,9.97
7133107,Waldböckelheim,2.26,12.67
7133108,Waldlaubersheim,4.75,13.74
7133109,Wallhausen,1.57,13.84
7133110,Warmsroth,3.6,15.66
7133111,Weiler bei Monzingen,5.49,24.43
7133112,Weinsheim,2.13,9.82
7133113,Weitersborn,8.6,27.66
7133114,Windesheim,1.52,12.99
7133115,Winterbach,4.37,20.12
7133116,Winterburg,1.36,20.61
7133117,Rüdesheim,1.51,7.0
7133201,Bruschied,6.77,25.6
7133202,Kellenbach,8.34,23.63
7133203,Königsau,6.8,21.45
7133204,Schneppenbach,8.44,23.34
7133205,Schwarzerden,9.84,24.16
7133501,"Bad Sobernheim, Stadt",2.8,19.33
7134001,Abentheuer,7.75,7.83
7134002,Achtelsbach,7.22,8.26
7134003,Allenbach,8.96,15.9
7134004,Asbach,8.97,32.27
7134005,"Baumholder, Stadt",1.8,16.45
7134006,Bergen,7.76,37.71
7134007,Berglangenbach,11.0,17.53
7134008,Berschweiler bei Baumholder,6.72,16.66
7134009,Berschweiler bei Kirn,10.28,39.28
7134010,"Birkenfeld, Stadt",1.71,3.35
7134011,Börfink,14.05,14.92
7134012,Bollenbach,6.6,28.39
7134013,Breitenthal,5.2,31.34
7134014,Bruchweiler,3.86,24.92
7134015,Brücken,5.62,6.03
7134016,Buhlenberg,5.94,6.5
7134017,Bundenbach,5.22,27.21
7134018,Dambach,5.94,6.96
7134019,Dickesbach,5.69,32.77
7134020,Dienstweiler,3.34,5.57
7134021,Eckersweiler,9.11,14.57
7134022,Elchweiler,5.11,7.2
7134023,Ellenberg,2.58,3.97
7134024,Ellweiler,4.47,9.13
7134025,Fischbach,3.15,32.09
7134026,Fohren-Linden,7.24,17.14
7134027,Frauenberg,8.4,20.82
7134028,Gerach,6.67,31.19
7134029,Gimbweiler,6.48,12.79
7134030,Gösenroth,3.67,19.42
7134031,Gollenberg,3.56,5.66
7134032,Griebelschied,9.26,35.86
7134033,Hahnweiler,6.46,15.4
7134034,Hattgenstein,8.45,9.81
7134035,Hausen,4.42,19.92
7134036,Heimbach,7.1,13.68
7134037,Hellertshausen,9.39,29.81
7134038,Herborn,4.95,26.51
7134039,Herrstein,1.61,32.89
7134040,Hettenrodt,3.53,21.02
7134041,Hintertiefenbach,5.38,29.71
7134042,Hoppstädten-Weiersbach,2.66,8.28
7134043,Horbruch,4.55,22.7
7134044,Hottenbach,9.88,31.27
7134045,"Idar-Oberstein, Stadt",2.76,24.82
7134046,Kempfeld,1.44,24.69
7134047,Kirschweiler,2.08,24.52
7134048,Kronweiler,11.34,14.64
7134049,Krummenau,7.0,22.84
7134050,Leisel,9.04,14.93
7134051,Leitzweiler,7.59,14.11
7134052,Mackenrodt,6.31,17.43
7134053,Meckenbach,9.44,9.58
7134054,Mettweiler,9.42,14.11
7134055,Mittelreidenbach,5.24,27.74
7134056,Mörschied,7.15,30.53
7134057,Niederbrombach,7.63,11.07
7134058,Niederhambach,7.38,9.53
7134059,Niederhosenbach,3.98,35.16
7134060,Niederwörresbach,1.48,30.38
7134061,Nohen,8.53,10.68
7134062,Oberbrombach,5.71,13.43
7134063,Oberhambach,6.62,8.67
7134064,Oberhosenbach,5.84,30.14
7134065,Oberkirn,5.0,18.36
7134066,Oberreidenbach,5.51,26.27
7134067,Oberwörresbach,4.08,30.52
7134068,Reichenbach,11.91,16.73
7134069,Rhaunen,1.25,23.52
7134070,Rimsberg,4.56,10.22
7134071,Rinzenberg,6.71,8.16
7134072,Rötsweiler-Nockenthal,4.82,14.69
7134073,Rohrbach,6.06,17.12
7134074,Rückweiler,4.8,14.51
7134075,Ruschberg,8.95,18.16
7134076,Schauren,4.9,26.95
7134077,Schmidthachenbach,9.01,26.38
7134078,Schmißberg,5.01,7.32
7134079,Schwerbach,6.02,16.62
7134080,Schwollen,10.27,11.93
7134081,Sensweiler,7.0,20.66
7134082,Sien,1.96,23.23
7134083,Sienhachenbach,3.27,24.32
7134084,Siesbach,6.27,18.03
7134085,Sonnenberg-Winnenberg,10.45,17.75
7134086,Sonnschied,9.74,32.12
7134087,Stipshausen,6.29,27.86
7134088,Sulzbach,5.12,26.81
7134089,Veitsrodt,4.73,26.06
7134090,Vollmersbach,3.87,24.88
7134091,Weiden,6.97,32.8
7134092,Weitersbach,3.83,25.44
7134093,Wickenrodt,8.5,32.94
7134094,Wilzenberg-Hußweiler,10.28,13.53
7134095,Wirschweiler,9.21,17.68
7134502,Langweiler,9.34,23.02
7135001,Alf,4.86,9.41
7135002,Alflen,5.76,17.42
7135003,Altlay,10.82,14.87
7135004,Altstrimmig,9.3,25.22
7135005,Auderath,5.98,15.65
7135007,Beilstein,3.7,17.79
7135008,Beuren,10.36,17.54
7135009,Binningen,6.62,20.85
7135010,Blankenrath,1.14,16.42
7135011,Brachtendorf,9.1,15.6
7135012,Bremm,4.3,13.99
7135013,Briedel,10.81,16.56
7135014,Brieden,8.09,16.83
7135015,Briedern,6.83,19.88
7135016,Brohl,5.6,19.57
7135017,Bruttig-Fankel,1.77,15.49
7135018,Büchel,1.24,18.67
7135019,Bullay,1.51,9.17
7135020,"Cochem, Stadt",3.14,8.04
7135021,Dohr,2.64,15.96
7135022,Dünfus,8.04,20.23
7135023,Düngenheim,4.78,16.39
7135024,Ediger-Eller,2.16,17.98
7135025,Ellenz-Poltersdorf,6.52,16.24
7135026,Eppenberg,6.92,18.51
7135027,Ernst,3.94,11.03
7135028,Eulgem,2.83,18.07
7135029,Faid,2.64,14.67
7135030,Filz,6.74,18.69
7135031,Forst (Eifel),6.84,20.96
7135032,Forst (Hunsrück),8.59,24.46
7135033,Gamlen,6.0,14.28
7135034,Gevenich,5.14,18.08
7135035,Gillenbeuren,5.54,22.45
7135036,Greimersburg,7.81,13.65
7135037,Grenderich,11.08,18.08
7135038,Hambuch,4.44,17.32
7135039,Haserich,2.89,18.17
7135040,Hauroth,7.03,18.44
7135041,Hesweiler,2.38,14.75
7135042,Illerich,6.62,15.22
7135043,Kaifenheim,7.8,13.43
7135044,Kail,8.27,16.21
7135045,"Kaisersesch, Stadt",1.3,17.82
7135046,Kalenborn,8.68,19.65
7135048,Kliding,8.1,20.9
7135049,Klotten,5.16,10.12
7135051,Landkern,5.58,14.84
7135052,Laubach,8.0,18.26
7135053,Lieg,9.6,24.16
7135054,Liesenich,8.43,24.28
7135056,Lütz,8.86,22.85
7135057,Lutzerath,1.44,20.2
7135058,Masburg,3.9,18.91
7135060,Mesenich,8.25,20.75
7135061,Mittelstrimmig,7.99,23.76
7135062,Möntenich,7.58,21.12
7135064,Moritzheim,7.19,14.78
7135065,Moselkern,6.89,21.7
7135066,Müden (Mosel),4.01,18.67
7135067,Müllenbach,7.59,19.89
7135068,Neef,4.6,12.5
7135069,Nehren,4.79,18.28
7135070,Panzweiler,2.8,15.83
7135071,Peterswald-Löffelscheid,8.55,18.23
7135072,Pommern,3.9,12.72
7135073,Pünderich,10.46,10.86
7135074,Reidenhausen,3.28,19.18
7135075,Roes,9.42,17.45
7135076,Sankt Aldegund,5.74,10.47
7135077,Schauren,4.98,13.65
7135078,Schmitt,6.47,22.14
7135079,Senheim,7.14,18.99
7135080,Sosberg,5.93,21.77
7135081,Tellig,6.03,13.1
7135082,Treis-Karden,1.59,16.78
7135083,"Ulmen, Stadt",2.81,14.37
7135084,Urmersbach,4.85,19.07
7135085,Urschmitt,6.41,22.62
7135086,Valwig,5.94,10.92
7135087,Wagenhausen,3.93,20.49
7135088,Walhausen,3.54,14.13
7135089,Weiler,6.14,20.52
7135090,Wirfus,9.18,16.02
7135091,Wollmerath,6.27,18.5
7135092,"Zell (Mosel), Stadt",4.04,7.26
7135093,Zettingen,5.4,16.08
7135501,Bad Bertrich,8.94,19.39
7135502,Leienkaul,8.3,20.3
7137001,Acht,14.62,19.14
7137003,"Andernach, Stadt",3.14,7.07
7137004,Anschau,6.64,17.16
7137006,Arft,11.79,17.58
7137007,Baar,13.6,16.22
7137008,Bell,4.34,13.27
7137011,Bermel,10.07,16.73
7137014,Boos,6.71,18.63
7137019,Ditscheid,11.9,19.03
7137023,Einig,5.73,11.25
7137025,Ettringen,1.89,7.25
7137027,Gappenach,5.14,18.89
7137029,Gering,8.51,11.19
7137030,Gierschnach,3.76,19.08
7137034,Hausten,4.34,19.38
7137035,Herresbach,12.12,12.79
7137036,Hirten,7.06,11.22
7137041,Kalt,5.46,22.69
7137043,Kehrig,10.58,12.29
7137048,Kerben,5.54,17.52
7137049,Kirchwald,10.84,12.38
7137053,Kollig,8.18,13.4
7137055,Kottenheim,2.53,10.62
7137056,Kretz,3.58,12.6
7137057,Kruft,1.7,12.86
7137060,Langenfeld,10.82,18.32
7137061,Langscheid,9.8,21.28
7137063,Lind,4.54,16.84
7137065,Lonnig,7.17,15.59
